    Stnr       Dato        TAM        TAN        TAX         RR         SA         SD           SLAG                           
   18700 01.01.1950       -3,8       -6,7        2,3        1,8         11          4              -                                 
   18700 02.01.1950       -0,2       -2,9        0,4        0,6         11          4              -                                 
   18700 03.01.1950       -4,8       -6,9        0,4        0,0         11          4              -                                 
   18700 04.01.1950       -9,2      -10,0       -5,2        0,6         11          4              -                                   
   18700 05.01.1950      -14,9      -16,9       -9,7        0,7         13          4              -                                    
   18700 06.01.1950      -15,9      -20,0      -14,0        0,0         13          4              -                                     
   18700 07.01.1950      -10,0      -14,9       -8,3        1,1         12          4              -                                    
   18700 08.01.1950       -5,0       -8,4       -4,2        1,1         14          4              -                                  
   18700 09.01.1950       -3,9       -5,0       -2,3        2,3         15          4              -                                  
